UNIDAD,ZONA,PREFECTURA,MOTIVO
2DA. COM. SANTIAGO,OESTE,CENTRAL,LEY 20.000 ART.10
2DA. COM. SANTIAGO,OESTE,CENTRAL,LEY 20.000 ART.10
2DA. COM. SANTIAGO,OESTE,CENTRAL,ORDEN DE APREHENSION
2DA. COM. SANTIAGO,OESTE,CENTRAL,PORTE DE ARMA BLANCA
2DA. COM. SANTIAGO,OESTE,CENTRAL,OCULTACION DE IDENTIDAD 
2DA. COM. SANTIAGO,OESTE,CENTRAL,OCULTACION DE IDENTIDAD 
2DA. COM. SANTIAGO,OESTE,CENTRAL,CONTRA LA AUTORIDAD
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,PORTE ILEGAL DE MUNICION
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,"ROBO CON INTIMIDACION, PORTE ILEGAL DE ARMA DE FUEGO, OCULTACIÓN DE PLACA PATENTE"
2DA. COM. SANTIAGO,OESTE,CENTRAL,"ROBO CON INTIMIDACION, PORTE ILEGAL DE ARMA DE FUEGO, OCULTACIÓN DE PLACA PATENTE"
2DA. COM. SANTIAGO,OESTE,CENTRAL,"ROBO CON INTIMIDACION, PORTE ILEGAL DE ARMA DE FUEGO, OCULTACIÓN DE PLACA PATENTE"
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,MICROTRÁFICO
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
2DA. COM. SANTIAGO,OESTE,CENTRAL,INFRACCION SANITARIA
